CTL,2018/8/8,0.26,0.242,7.4,2018-05-14T16:00:00,2018-11-01T16:00:00
IR,2018/7/25,1.85,1.723,7.4,2018-04-30T16:00:00,2018-10-18T16:00:00
T,2018/7/24,0.91,0.847,7.4,2018-04-27T16:00:00,2018-10-17T16:00:00
TXN,2018/7/24,1.4,1.304,7.4,2018-04-27T16:00:00,2018-10-17T16:00:00
ETFC,2018/7/19,0.95,0.884,7.4,2018-04-24T16:00:00,2018-10-12T16:00:00
NSC,2018/7/25,2.5,2.329,7.3,2018-04-30T16:00:00,2018-10-18T16:00:00
AVY,2018/7/24,1.66,1.548,7.2,2018-04-27T16:00:00,2018-10-17T16:00:00
INFO,2018/6/26,0.61,0.569,7.2,2018-04-02T16:00:00,2018-09-20T16:00:00
NFLX,2018/7/16,0.85,0.794,7.1,2018-04-19T16:00:00,2018-10-09T16:00:00
AMAT,2018/5/17,1.22,1.139,7.1,2018-02-21T16:00:00,2018-08-13T16:00:00
AGN,2018/7/26,4.42,4.129,7,2018-05-01T16:00:00,2018-10-19T16:00:00
ROST,2017/8/17,0.82,0.767,7,2017-05-23T16:00:00,2017-11-10T16:00:00
LB,2017/8/16,0.48,0.449,6.9,2017-05-22T16:00:00,2017-11-09T16:00:00
ROP,2018/7/26,2.89,2.706,6.8,2018-05-01T16:00:00,2018-10-19T16:00:00
ABC,2018/5/2,1.94,1.819,6.7,2018-02-05T16:00:00,2018-07-27T16:00:00
ALB,2018/8/7,1.36,1.276,6.6,2018-05-11T16:00:00,2018-10-31T16:00:00
CSCO,2018/2/14,0.63,0.591,6.6,2017-11-16T16:00:00,2018-05-11T16:00:00
AOS,2018/7/25,0.66,0.62,6.5,2018-04-30T16:00:00,2018-10-18T16:00:00
CHRW,2018/7/31,1.13,1.064,6.4,2018-05-04T16:00:00,2018-10-24T16:00:00
SJM,2017/11/16,2.02,1.899,6.4,2017-08-23T16:00:00,2018-02-14T16:00:00
TIF,2017/8/24,0.92,0.864,6.4,2017-05-31T16:00:00,2017-11-17T16:00:00
MSI,2018/8/2,1.46,1.374,6.3,2018-05-08T16:00:00,2018-10-26T16:00:00
UTX,2018/7/24,1.97,1.854,6.3,2018-04-27T16:00:00,2018-10-17T16:00:00
ACN,2018/3/22,1.58,1.487,6.3,2017-12-22T16:00:00,2018-06-18T16:00:00
M,2017/8/10,0.48,0.452,6.2,2017-05-16T16:00:00,2017-11-03T16:00:00
AME,2018/7/31,0.83,0.782,6.1,2018-05-04T16:00:00,2018-10-24T16:00:00
LLL,2018/7/26,2.47,2.329,6.1,2018-05-01T16:00:00,2018-10-19T16:00:00
EMR,2018/5/1,0.76,0.716,6.1,2018-02-02T16:00:00,2018-07-26T16:00:00
NKTR,2018/8/8,5.33,5.026,6,2018-05-14T16:00:00,2018-11-01T16:00:00
CAG,2017/12/21,0.55,0.519,6,2017-09-27T16:00:00,2018-03-21T16:00:00
QRVO,2017/11/1,1.52,1.434,6,2017-08-08T16:00:00,2018-01-30T16:00:00
VRSK,2018/7/31,1.06,1.001,5.9,2018-05-04T16:00:00,2018-10-24T16:00:00
UAA,2018/7/26,-0.08,-0.085,5.9,2018-05-01T16:00:00,2018-10-19T16:00:00
LKQ,2018/7/26,0.61,0.576,5.9,2018-05-01T16:00:00,2018-10-19T16:00:00
FAST,2018/7/11,0.7,0.662,5.9,2018-04-16T16:00:00,2018-10-04T16:00:00
AAP,2018/8/14,1.97,1.862,5.8,2018-05-18T16:00:00,2018-11-07T16:00:00
DHR,2018/7/19,1.15,1.087,5.8,2018-04-24T16:00:00,2018-10-12T16:00:00
PEP,2018/7/10,1.61,1.522,5.8,2018-04-13T16:00:00,2018-10-03T16:00:00
NWL,2018/8/6,0.82,0.776,5.7,2018-05-10T16:00:00,2018-10-30T16:00:00
GPN,2018/8/2,1.29,1.22,5.7,2018-05-08T16:00:00,2018-10-26T16:00:00
DWDP,2018/8/2,1.37,1.296,5.7,2018-05-08T16:00:00,2018-10-26T16:00:00
IRM,2018/7/27,0.56,0.53,5.7,2018-05-02T16:00:00,2018-10-22T16:00:00
PKG,2018/7/25,2.08,1.967,5.7,2018-04-30T16:00:00,2018-10-18T16:00:00
HCA,2018/7/25,2.29,2.166,5.7,2018-04-30T16:00:00,2018-10-18T16:00:00
ADI,2018/5/30,1.45,1.372,5.7,2018-03-05T16:00:00,2018-08-23T16:00:00
APH,2018/7/25,0.9,0.852,5.6,2018-04-30T16:00:00,2018-10-18T16:00:00
