XRAY,2018/8/7,0.6,0.589,1.9,2018-05-11T16:00:00,2018-10-31T16:00:00
UDR,2018/7/30,0.49,0.481,1.9,2018-05-03T16:00:00,2018-10-23T16:00:00
FTV,2018/7/26,0.91,0.893,1.9,2018-05-01T16:00:00,2018-10-19T16:00:00
SPGI,2018/7/26,2.17,2.13,1.9,2018-05-01T16:00:00,2018-10-19T16:00:00
SYK,2018/7/24,1.76,1.728,1.9,2018-04-27T16:00:00,2018-10-17T16:00:00
KSU,2018/7/20,1.54,1.512,1.9,2018-04-25T16:00:00,2018-10-15T16:00:00
FISV,2018/7/31,0.75,0.737,1.8,2018-05-04T16:00:00,2018-10-24T16:00:00
WM,2018/7/25,1.01,0.992,1.8,2018-04-30T16:00:00,2018-10-18T16:00:00
APD,2018/4/26,1.71,1.679,1.8,2018-01-30T16:00:00,2018-07-23T16:00:00
FIS,2018/7/31,1.23,1.209,1.7,2018-05-04T16:00:00,2018-10-24T16:00:00
DFS,2018/7/26,1.91,1.878,1.7,2018-05-01T16:00:00,2018-10-19T16:00:00
BA,2018/7/25,3.33,3.273,1.7,2018-04-30T16:00:00,2018-10-18T16:00:00
LH,2018/7/25,2.98,2.931,1.7,2018-04-30T16:00:00,2018-10-18T16:00:00
UNP,2018/7/19,1.98,1.947,1.7,2018-04-24T16:00:00,2018-10-12T16:00:00
PEG,2018/8/1,0.64,0.63,1.6,2018-05-07T16:00:00,2018-10-25T16:00:00
ES,2018/7/31,0.76,0.752,1.6,2018-05-04T16:00:00,2018-10-24T16:00:00
AVB,2018/7/30,2.23,2.195,1.6,2018-05-03T16:00:00,2018-10-23T16:00:00
EIX,2018/7/26,0.84,0.827,1.6,2018-05-01T16:00:00,2018-10-19T16:00:00
BIIB,2018/7/24,5.28,5.192,1.6,2018-04-27T16:00:00,2018-10-17T16:00:00
HRB,2017/12/6,-0.71,-0.721,1.6,2017-09-12T16:00:00,2018-03-06T16:00:00
CBOE,2018/8/3,1.05,1.034,1.5,2018-05-09T16:00:00,2018-10-29T16:00:00
DRE,2018/7/25,0.33,0.325,1.5,2018-04-30T16:00:00,2018-10-18T16:00:00
FB,2018/7/25,1.74,1.715,1.5,2018-04-30T16:00:00,2018-10-18T16:00:00
SHW,2018/7/24,5.73,5.648,1.5,2018-04-27T16:00:00,2018-10-17T16:00:00
WAT,2018/7/24,1.95,1.921,1.5,2018-04-27T16:00:00,2018-10-17T16:00:00
USB,2018/7/18,1.02,1.005,1.5,2018-04-23T16:00:00,2018-10-11T16:00:00
HD,2017/8/15,2.25,2.214,1.5,2017-05-19T16:00:00,2017-11-08T16:00:00
FRT,2018/8/1,1.55,1.529,1.4,2018-05-07T16:00:00,2018-10-25T16:00:00
MTD,2018/7/26,4.65,4.585,1.4,2018-05-01T16:00:00,2018-10-19T16:00:00
EQR,2018/7/24,0.81,0.799,1.4,2018-04-27T16:00:00,2018-10-17T16:00:00
CNC,2018/7/24,0.9,0.888,1.4,2018-04-27T16:00:00,2018-10-17T16:00:00
IBM,2018/7/18,3.08,3.038,1.4,2018-04-23T16:00:00,2018-10-11T16:00:00
ATO,2018/5/2,1.57,1.549,1.4,2018-02-05T16:00:00,2018-07-27T16:00:00
ESS,2018/8/1,3.14,3.1,1.3,2018-05-07T16:00:00,2018-10-25T16:00:00
TMK,2018/7/25,1.51,1.491,1.3,2018-04-30T16:00:00,2018-10-18T16:00:00
KMB,2018/7/24,1.59,1.57,1.3,2018-04-27T16:00:00,2018-10-17T16:00:00
PBCT,2018/7/19,0.32,0.316,1.3,2018-04-24T16:00:00,2018-10-12T16:00:00
EXPD,2018/8/7,0.79,0.781,1.2,2018-05-11T16:00:00,2018-10-31T16:00:00
MSCI,2018/8/2,1.3,1.284,1.2,2018-05-08T16:00:00,2018-10-26T16:00:00
BXP,2018/7/31,1.58,1.562,1.2,2018-05-04T16:00:00,2018-10-24T16:00:00
ABBV,2018/7/27,2,1.976,1.2,2018-05-02T16:00:00,2018-10-22T16:00:00
CME,2018/7/26,1.74,1.719,1.2,2018-05-01T16:00:00,2018-10-19T16:00:00
KO,2018/7/25,0.61,0.603,1.2,2018-04-30T16:00:00,2018-10-18T16:00:00
IPG,2018/7/24,0.43,0.425,1.2,2018-04-27T16:00:00,2018-10-17T16:00:00
SLB,2018/7/20,0.43,0.425,1.2,2018-04-25T16:00:00,2018-10-15T16:00:00
PPG,2018/7/19,1.9,1.878,1.2,2018-04-24T16:00:00,2018-10-12T16:00:00
EFX,2018/7/25,1.56,1.543,1.1,2018-04-30T16:00:00,2018-10-18T16:00:00
A,2018/5/14,0.65,0.643,1.1,2018-02-15T16:00:00,2018-08-08T16:00:00
TJX,2017/8/15,0.43,0.422,1.1,2017-05-19T16:00:00,2017-11-08T16:00:00
CBS,2018/8/2,1.12,1.109,1,2018-05-08T16:00:00,2018-10-26T16:00:00
